ds,y
12/2/2017 0:00,360997.1
12/3/2017 0:00,275959.1
12/4/2017 0:00,113906.45
12/5/2017 0:00,326458.86
12/6/2017 0:00,323352.28
12/7/2017 0:00,300550.44
12/8/2017 0:00,324059.65
12/9/2017 0:00,357286.29
12/10/2017 0:00,263892.39
12/11/2017 0:00,163843.37
12/12/2017 0:00,270276.74
12/13/2017 0:00,286904.8
12/14/2017 0:00,278681.09
12/15/2017 0:00,365305.44
12/16/2017 0:00,365781.79
12/17/2017 0:00,227725.74
12/18/2017 0:00,137463.14
12/19/2017 0:00,288341.09
12/20/2017 0:00,313159.79
12/21/2017 0:00,330909.78
12/22/2017 0:00,304848.9
12/23/2017 0:00,332365.15
12/24/2017 0:00,130571.62
12/26/2017 0:00,14383.57
12/27/2017 0:00,244020.8
12/28/2017 0:00,228700.62
12/29/2017 0:00,249158.58
12/30/2017 0:00,342249.97
12/31/2017 0:00,101012.95
1/2/2018 0:00,234354.17
1/3/2018 0:00,277066.98
1/4/2018 0:00,192649.03
1/5/2018 0:00,247684.65
1/6/2018 0:00,331910.38
1/7/2018 0:00,245964.46
1/8/2018 0:00,189640.45
1/9/2018 0:00,236906.1
1/10/2018 0:00,227438.83
1/11/2018 0:00,236535.22
1/12/2018 0:00,255229.04
1/13/2018 0:00,298657.52
1/14/2018 0:00,154273.05
1/15/2018 0:00,164140.59
1/16/2018 0:00,213457.47
1/17/2018 0:00,168254.79
1/18/2018 0:00,179695.52
1/19/2018 0:00,244565.69
1/20/2018 0:00,302205.82
1/21/2018 0:00,142759.69
1/22/2018 0:00,154001.03
1/23/2018 0:00,222580.73
1/24/2018 0:00,144055.2
1/25/2018 0:00,220340.29
1/26/2018 0:00,260921.06
1/27/2018 0:00,296819.04
1/28/2018 0:00,210865.78
1/29/2018 0:00,103182.72
1/30/2018 0:00,199740.84
1/31/2018 0:00,191807.59
2/1/2018 0:00,185130.8
2/2/2018 0:00,205727.23
2/3/2018 0:00,236333.82
2/4/2018 0:00,130422.57
2/5/2018 0:00,129112.79
2/6/2018 0:00,228971.08
2/7/2018 0:00,205538.6
2/8/2018 0:00,166303.13
2/9/2018 0:00,208140.24
2/10/2018 0:00,230043.92
2/11/2018 0:00,141694.41
2/12/2018 0:00,108005.2
2/13/2018 0:00,142086.46
2/14/2018 0:00,171978.34
2/15/2018 0:00,129318.84
2/16/2018 0:00,148829.39
2/17/2018 0:00,235303.09
2/18/2018 0:00,133963.85
2/20/2018 0:00,170066.69
2/21/2018 0:00,125106.74
2/22/2018 0:00,169584.66
2/23/2018 0:00,204075.61
2/24/2018 0:00,266187.82
2/25/2018 0:00,103557.63
2/26/2018 0:00,123090
2/27/2018 0:00,182555.21
2/28/2018 0:00,176378.99
3/1/2018 0:00,151107.89
3/2/2018 0:00,178499.38
3/3/2018 0:00,283636.53
3/4/2018 0:00,141023.26
3/5/2018 0:00,153344.92
3/6/2018 0:00,217063.89
3/7/2018 0:00,6853.39
3/8/2018 0:00,302878.27
3/9/2018 0:00,203859.99
3/10/2018 0:00,290222.68
3/11/2018 0:00,159411.43
3/12/2018 0:00,172632.69
3/13/2018 0:00,212800.16
3/14/2018 0:00,182773.2
3/15/2018 0:00,154334.98
3/16/2018 0:00,184596.28
3/17/2018 0:00,312230.65
3/18/2018 0:00,161837.58
3/19/2018 0:00,129820.86
3/20/2018 0:00,201593.27
3/21/2018 0:00,157432.39
3/22/2018 0:00,144996.91
3/23/2018 0:00,168143.48
3/24/2018 0:00,269269.54
3/25/2018 0:00,146224.08
3/26/2018 0:00,206163.05
3/27/2018 0:00,195457.47
3/28/2018 0:00,219006.11
3/29/2018 0:00,195649.06
3/31/2018 0:00,255848.59
4/2/2018 0:00,234982.99
4/3/2018 0:00,210188.48
4/4/2018 0:00,214496.72
4/5/2018 0:00,196334.37
4/6/2018 0:00,222919.56
4/7/2018 0:00,306689.19
4/8/2018 0:00,158010.04
4/9/2018 0:00,147449.74
4/10/2018 0:00,193837.73
4/11/2018 0:00,190267.01
4/12/2018 0:00,139504.77
4/13/2018 0:00,164554.57
4/14/2018 0:00,204634.07
4/15/2018 0:00,132762.74
4/16/2018 0:00,125033.02
4/17/2018 0:00,187347.73
4/18/2018 0:00,155418.69
4/19/2018 0:00,145784.82
4/20/2018 0:00,205358.14
4/21/2018 0:00,314314.26
4/22/2018 0:00,169222.82
4/23/2018 0:00,121979.17
4/24/2018 0:00,161477.46
4/25/2018 0:00,162527.57
4/26/2018 0:00,171785.19
4/27/2018 0:00,181433.15
4/28/2018 0:00,264601.83
4/29/2018 0:00,166540.75
4/30/2018 0:00,153715.21
5/1/2018 0:00,147377.36
5/2/2018 0:00,222463.28
5/3/2018 0:00,170204.6
5/4/2018 0:00,205904.35
5/5/2018 0:00,303652.29
5/6/2018 0:00,172299.04
5/7/2018 0:00,77748.9
5/8/2018 0:00,131744.38
5/9/2018 0:00,170926.24
5/10/2018 0:00,160354.46
5/11/2018 0:00,246520.15
5/12/2018 0:00,310054.88
5/13/2018 0:00,148282.98
5/14/2018 0:00,110164.09
5/15/2018 0:00,163207.61
5/16/2018 0:00,230824.31
5/17/2018 0:00,170436.45
5/18/2018 0:00,231903.67
5/19/2018 0:00,292324.43
5/20/2018 0:00,188342.21
5/22/2018 0:00,158397.78
5/23/2018 0:00,199421.59
5/24/2018 0:00,135616.54
5/25/2018 0:00,188034.5
5/26/2018 0:00,343578.18
5/27/2018 0:00,150368.2
5/28/2018 0:00,203907.55
5/29/2018 0:00,216538.12
5/30/2018 0:00,203541.31
5/31/2018 0:00,200420.89
6/1/2018 0:00,224988.3
6/2/2018 0:00,270219.56
6/3/2018 0:00,150075.25
6/4/2018 0:00,133157.32
6/5/2018 0:00,184323.49
6/6/2018 0:00,178118.11
6/7/2018 0:00,181094.19
6/8/2018 0:00,281521.92
6/9/2018 0:00,270753.5
6/10/2018 0:00,151891.4
6/11/2018 0:00,120462
6/12/2018 0:00,164185.29
6/13/2018 0:00,223110.91
6/14/2018 0:00,187846.86
6/15/2018 0:00,295804.77
6/16/2018 0:00,304519.27
6/17/2018 0:00,95539.5
6/18/2018 0:00,91221.67
6/19/2018 0:00,141109.63
6/20/2018 0:00,166566.83
6/21/2018 0:00,177753.99
6/22/2018 0:00,287164.44
6/23/2018 0:00,259562.07
6/24/2018 0:00,133453.85
6/25/2018 0:00,136562.27
6/26/2018 0:00,169586.75
6/27/2018 0:00,201246.45
6/28/2018 0:00,210500.26
6/29/2018 0:00,270580.06
6/30/2018 0:00,339679.16
7/1/2018 0:00,106047.87
7/3/2018 0:00,190106.33
7/4/2018 0:00,209585.22
7/5/2018 0:00,181634.96
7/6/2018 0:00,270826.81
7/7/2018 0:00,299073.09
7/8/2018 0:00,135258.09
7/9/2018 0:00,154498.85
7/10/2018 0:00,205640.87
7/11/2018 0:00,226867.4
7/12/2018 0:00,193232.53
7/13/2018 0:00,245555.76
7/14/2018 0:00,304789.8
7/15/2018 0:00,150517.56
7/16/2018 0:00,132618.99
7/17/2018 0:00,180496.14
7/18/2018 0:00,212096.31
7/19/2018 0:00,211905.82
7/20/2018 0:00,261515.02
7/21/2018 0:00,288689.23
7/22/2018 0:00,142389.88
7/23/2018 0:00,96533.97
7/24/2018 0:00,199753.93
